Year,All,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,179944,696,1404,3105,15556,16862,19298,31896,45605,22753,14556,4410,3803
2004%,100.0,0.4,0.8,1.7,8.6,9.4,10.7,17.7,25.3,12.6,8.1,2.5,2.1
2005,93924,269,558,3128,3307,9310,12620,18807,24820,12168,6873,1396,668
2005%,100.0,0.3,0.6,3.3,3.5,9.9,13.4,20.0,26.4,13.0,7.3,1.5,0.7
2006,100377,314,351,1093,7438,9992,12946,18560,25968,13451,7661,1755,848
2006%,100.0,0.3,0.3,1.1,7.4,10.0,12.9,18.5,25.9,13.4,7.6,1.7,0.8
2007,114026,350,666,1680,8112,12898,15157,20108,27140,15189,9434,2496,796
2007%,100.0,0.3,0.6,1.5,7.1,11.3,13.3,17.6,23.8,13.3,8.3,2.2,0.7
2008,125141,306,703,5328,5655,15988,15860,20989,29747,17298,9881,2301,1085
2008%,100.0,0.2,0.6,4.3,4.5,12.8,12.7,16.8,23.8,13.8,7.9,1.8,0.9
2009,145878,520,681,1808,10244,16445,19316,26212,35100,20465,11730,2352,1005
2009%,100.0,0.4,0.5,1.2,7.0,11.3,13.2,18.0,24.1,14.0,8.0,1.6,0.7
2010,272412,1169,1640,5882,19587,28849,33757,42472,61543,36870,26600,8076,5967
2010%,100.0,0.4,0.6,2.2,7.2,10.6,12.4,15.6,22.6,13.5,9.8,3.0,2.2
2011,183366,649,820,3024,14154,19803,25230,30838,41488,26022,16243,3597,1498
2011%,100.0,0.4,0.4,1.6,7.7,10.8,13.8,16.8,22.6,14.2,8.9,2.0,0.8
2012,192488,872,1305,3260,14751,21775,25518,32823,41096,27322,18092,4173,1501
2012%,100.0,0.5,0.7,1.7,7.7,11.3,13.3,17.1,21.3,14.2,9.4,2.2,0.8
2013,215880,806,1382,7229,11533,25206,29374,36559,46728,30896,19608,4900,1659
2013%,100.0,0.4,0.6,3.3,5.3,11.7,13.6,16.9,21.6,14.3,9.1,2.3,0.8
2014,237886,906,970,3150,17346,27354,33023,39581,51219,34458,23206,4803,1870
2014%,100.0,0.4,0.4,1.3,7.3,11.5,13.9,16.6,21.5,14.5,9.8,2.0,0.8
2015,262459,1217,1544,5080,17722,31078,35925,44799,54796,37433,25574,5229,2062
2015%,100.0,0.5,0.6,1.9,6.8,11.8,13.7,17.1,20.9,14.3,9.7,2.0,0.8
